
ivm1060;Об аффинных связностях на распределении гиперплоскостных элементов в $A_{n+1}$;;514.754;;;Э. Д. Алшибая, ;;;;2002
ivm1061;Построение оценок погрешности линеаризации систем ;;517.962.2;;;Е. В. Афиногентова, В. Н. Щенников, ;;;;2002
ivm1062;О двойственности в пространствах полигармонических функций;;517.575517.956;;;А. А. Шлапунов, ;;;;2002
ivm1063;Методы фрактальной интерполяции типа Барнсли;;517.843;;;С. Н. Васильев, ;;;;2002
ivm1064;Асимптотика логарифма максимального члена измененного ряда Дирихле;;517.53;;;А. М. Гайсин, И. Д. Латыпов, ;;;;2002
ivm1065;О пропорциональности лиевых слов в классических алгебрах Ли;;512.554;;;Ю. Б. Ермолаев, ;;;;2002
ivm1066;Решение интегральных уравнений методом подобластей;;517.968:519.6;;;Л. Б. Ермолаева, ;;;;2002
ivm1067;Об отсутствии решений эллиптических дифференциальных неравенств ;;517.9;;;Г. Г. Лаптев, ;;;;2002
ivm1068;Решение первой краевой задачи для $B$-параболического ;;517.946;;;И. Б. Гарипов, ;;;;2002
ivm1069;Решение основных краевых задач для одного $B$-эллиптического уравнения методом потенциалов;;517.946;;;Р. М. Мавлявиев, ;;;;2002
ivm106;Квазистратегии в абстрактной задаче управления и метод программных итераций (прямая версия);;517.972;;;А. Г. Ченцов, ;;;;2005
ivm1070;Проекционные методы решения сингулярного интегрального уравнения ;;517.958;;;И. К. Рахимов, ;;;;2002
ivm1071;О слабой секвенциальной полноте факторпространст пространства интегрируемых операторов;;517.982;;;Г. Ш. Скворцова, ;;;;2002
ivm1072;О некоторых сингулярных задачах дифракции с общей границей;;517.946;;;Э. Д. Хусаинова, ;;;;2002
ivm1073;Некоторые замечания о радиусе Бора для степенных рядов;;517.547;;;Л. А. Айзенберг, И. Б. Гроссман, Ю. Ф. Коробейник, ;;;;2002
ivm1074;Операторы суперпозиции в пространствах Соболева;;517.548517.988;;;С. К. Водопьянов, А. Д. Ухлов, ;;;;2002
ivm1075;Решение операторных и интегральных уравнений ;;517.968:519.6;;;Б. Г. Габдулхаев, ;;;;2002
ivm1076;Уравнение Гахова для внешней смешанной обратной краевой задачи по параметру $x$;;517.544;;;Г. Р. Галиуллина, С. Р. Насыров, ;;;;2002
ivm1078;Об оценках верхней и нижней логарифмических плотностей ;;517.547;;;И. И. Марченко, ;;;;2002
ivm1079;Аппроксимация элементами клина с учетом величин аппроксимирующих элементов;;517.518;;;С. Я. Хавинсон, ;;;;2002
ivm107;О разрешимости и свойствах решений бесконечных систем Винера--Хопфа со степенно-разностными индекcами;;519.642;;;О. Н. Яковлева, ;;;;2005
ivm1080;Информация о научной конференции ``Геометрическая теория функций и краевые задачи'';; ;;; ;;;;2002
ivm1081;Вклад Бояи, Гаусса и Лобачевского в открытие неевклидовой геометрии (к 200-летию со дня рождения Яноша Бояи);; ;;;В. В. Вишневский, ;;;;2002
ivm1082;Спиноры на римановых многообразиях;;530.12;;;Р. Ф. Билялов, ;;;;2002
ivm1083;Теорема о шляпе и проблемы классификации ;;514.76;;;А. А. Ермолицкий, ;;;;2002
ivm1084;Фрактальная размерность пересечения стандартных канторовых множеств;;517.518.1;;;К. Б. Игудесман, ;;;;2002
ivm1085;Некоторые алгоритмические вопросы ассоциативных алгебр;;519.4;;;Л. Ю. Касапенко, ;;;;2002
ivm1086;Симметризация функций из пространств Соболева;;517.518;;;В. С. Климов, ;;;;2002
ivm1087;Некоторые топологические свойства многообразий над локальной алгеброй, ;;514.4;;;М. А. Микенберг, ;;;;2002
ivm1088;Фундаментальные дифференциальные операторы первого порядка на внешних и симметрических формах;;514.7;;;М. В. Смольникова, С. Е. Степанов, ;;;;2002
ivm1089;Внутренняя геометрия нормализованного конформного пространства;;514.756.2;;;А. В. Столяров, ;;;;2002
ivm108;Линейные связности, индуцируемые полным оснащением гиперповерхности конформного пространства;;514.756;;;Т. Н. Андреева, ;;;;2005
ivm1090;Об индексе и гомотопической классификации семейств сингулярных операторов с диэдральной группой сдвигов и $PC$-коэффициентами;;517.9;;;Г. Ю. Виноградова, В. М. Деундяк, ;;;;2002
ivm1091;Семейства $V^2_{2n-1}$, $U^m_{2n-1}$ и их проективное изгибание;;514.755;;;Т. Б. Жогова, ;;;;2002
ivm1092;$L_p\to L_q$-оценки для некоторых операторов типа потенциала ;;517.983;;;П. А. Лужецкая, В. А. Ногин, ;;;;2002
ivm1093;Асимптотические оценки линейных функционалов для ограниченных функций, не принимающих нулевого значения;;517.546;;;С. В. Романова, ;;;;2002
ivm1094;Управление процессом минимизации в параметризованном методе центров;;519.853;;;А. А. Андрианова, Я. И. Заботин, ;;;;2002
ivm1095;Линейные функции Ляпунова--Кротова и достаточные условия ;;517.977.5;;;Н. В. Антипина, В. А. Дыхта, ;;;;2002
ivm1096;Решение задачи оптимального управления начально-краевыми условиями гиперболической системы на основе точных формул приращения;;.517.977;;;А. В. Аргучинцев, ;;;;2002
ivm1097;К оптимизации квадратичных по состоянию динамических систем;;.517.977;;;А. С. Булдаев, ;;;;2002
ivm1098;Об одной процедуре улучшения управления в параметрическом синтезе;;.517.977;;;О. В. Васильев, Е. А. Лутковская, ;;;;2002
ivm1099;Стабилизация систем с запаздываниями методами оптимального управления;;517.852;;;Р. Габасов, Ф. М. Кириллова, ;;;;2002
ivm109;Решение одной краевой задачи с условиями ;;517.946;;;Ф. Г. Мухлисов, Э. Д. Хусаинова, ;;;;2005
ivm10;Об устойчивости решений нелинейных разностных систем;;517.962;;;А. Ю. Александров, А. П. Жабко, ;;;;2005
ivm1100;Оптимизация прямых методов решения периодических краевых задач;;517.968:519.6;;;Б. Г. Габдулхаев, ;;;;2002
ivm1101;Модернизация методов градиентного типа в задачах оптимального управления;;.517.977;;;В. А. Срочко, ;;;;2002
ivm1102;О существовании и единственности решения задачи равновесного программирования;;519.683;;;С. В. Шпирко, ;;;;2002
ivm1103;О типах $(3n-2)$-нецелочисленных вершин многогранника трехиндексной ;;519.10;;;В. М. Кравцов, М. К. Кравцов, Е. В. Лукшин, ;;;;2002
ivm1104;Об аппроксимационных свойствах высших производных периодических функций;;517.518;;;В. Э. Гейт, ;;;;1997
ivm1105;О динамике монотонного отображения $n$-ода;;517.987;;;Л. С. Ефремова, Е. Н. Махрова, ;;;;1997
ivm1106;Критерий линейной упорядочиваемости частичного автомата;;519.713.2;;;М. М. Кац, ;;;;1997
ivm1107;О тригонометрическом интерполировании функций $m$-гармонической ограниченной вариации;;517.929;;;А. А. Кельзон, ;;;;1997
ivm1108;О радиусах $n$-листной выпуклости и звездности для некоторых специальных классов аналитических функций в круге;;517.546;;;И. М. Коцур, М. Ф. Коцур, ;;;;1997
ivm1109;О гладких разбиениях единицы на банаховых многообразиях;;515.164.17;;;О. В. Кунаковская, ;;;;1997
ivm110;Метод доверительных окрестностей для минимизации кодифференцируемых функций;;517.929;;;М. Ю. Андрамонов, ;;;;2004
ivm1110;О взаимосвязи некоторых лиувиллевых теорем на римановых многообразиях специального вида;;517.956;;;А. Г. Лосев, ;;;;1997
ivm1111;Новый критерий принадлежности оператора классу $K(H)$;;517.982;;;Л. И. Сухочева, ;;;;1997
ivm1112;Об уравнениях динамики неньютоновской жидкости, движущейся с проскальзыванием относительно ложа;;517.957;;;С. Л. Тонконог, ;;;;1997
ivm1113;О спектральных свойствах относительно конечномерных возмущений самосопряженных операторов;;517.983;;;Е. Л. Ульянова, ;;;;1997
ivm1114;К одной проблеме Пирси и Шилдса;;517.984;;;Н. Б. Ускова, ;;;;1997
ivm1115;Метод возмущения дифференциально-алгебраических систем;;517.927;;;М. В. Булатов, ;;;;1997
ivm1116;О конечных группах, у которых главные факторы являются простыми группами;;512.542;;;А. Ф. Васильев, Т. И. Васильева, ;;;;1997
ivm1117;Исследование систем линейных диофантовых неравенств методами теории групп;;511.56;;;А. А. Вьялицин, ;;;;1997
ivm1118;Универсальное картановское продолжение;;.512.544;;;Ю. Б. Ермолаев, ;;;;1997
ivm1119;Некоторые аспекты представления нечетких операторов отношением двух многочленов;;517.988;;;Т. М. Леденева, ;;;;1997
ivm111;Оптимизация гиперболических систем с интегральными ограничениями на граничные управления;;.517.977;;;А. В. Аргучинцев, ;;;;2004
ivm1120;Общие аналитические и бесконечно малые деформации погружений. II;;513;;;П. Е. Марков, ;;;;1997
ivm1121;Об $\aleph$-идентичности отношений эпиморфности и вложимости на квазимногообразиях;;519.48;;;А. Г. Пинус, ;;;;1997
ivm1122;О критерии устойчивости одного скалярного уравнения с постоянным запаздыванием и периодическим коэффициентом;;517.929;;;С. М. Седова, ;;;;1997
ivm1123;Термодинамические потенциалы и математическое моделирование процесса течения вязких сред;;517.958:536.7;;;И. Г. Терегулов, ;;;;1997
ivm1124;Вычисление неподвижных точек симметричных экстремальных отображений;;519.853;;;А. С. Антипин, ;;;;1997
ivm1125;Модифицированный метод симплексных погружений с одновременным введением нескольких секущих плоскостей;;519.853;;;Е. В. Апекина, О. В. Хамисов, ;;;;1997
ivm1126;Задача упаковки в контейнеры: асимптотически точный подход;;519.852;;;Э. Х. Гимади, В. В. Залюбовский, ;;;;1997
ivm1127;Задача упаковки в полосу: асимптотически точный подход;;519.852;;;Э. Х. Гимади, В. В. Залюбовский, П. И. Шарыгин, ;;;;1997
ivm1128;Модифицированная функция Лагранжа для задач линейного программирования;;519.854;;;А. А. Голиков, Ю. Г. Евтушенко, ;;;;1997
ivm1129;Некоторые вопросы кусочно-линейного программирования;;519.853;;;И. И. Ерёмин, ;;;;1997
ivm112;Проекционные процедуры нелокального улучшения линейно управляемых процессов;;.517.977;;;А. С. Булдаев, ;;;;2004
ivm1130;Алгоритм второго порядка с параметризованными направлениями для задач условной оптимизации;;519.853;;;И. Я. Заботин, ;;;;1997
ivm1131;Алгоритм решения одной задачи оптимального линейного упорядочения;;519.852;;;Г. Г. Забудский, ;;;;1997
ivm1132;О системах вариационных неравенств;;519.85;;;И. В. Коннов, ;;;;1997
ivm1133;О разбиении выпуклого политопа на симплексы без новых вершин;;514.172.45;;;В. Н. Шевченко, ;;;;1997
ivm1134;Реферат статьи, депонированной в ВИНИТИ через журнал ``Известия вузов. Математика'';; ;;; ;;;;1997
ivm1135;Мера квазиустойчивости в метрике $l_1$, векторной комбинаторной задачи с параметрическим принципом оптимальности;;519.112;;;В. А. Емеличев, К. Г. Кузьмин, ;;;;2005
ivm1136;О сложности задачи размещения на линии с ограничениями на минимальные расстояния;;519.854;;;Г. Г. Забудский, ;;;;2005
ivm1137;Об одном представлении пучка допустимых траекторий в линейной задаче управления с импульсным ограничением;;517.972;;;Т. Ю. Каширцева, А. Г. Ченцов, ;;;;2005
ivm1138;О сходимости метода условного градиента;;519.642;;;В. С. Климов, ;;;;2005
ivm1139;Приближенный метод двойственного типа для систем вариационных неравенств;;519.853;;;И. В. Коннов, ;;;;2005
ivm113;О квазиустойчивости векторной траекторной задачи с параметрическим принципом оптимальности;;.517.977;;;С. Е. Бухтояров, В. А. Емеличев, ;;;;2004
ivm1140;Задача управления в коэффициентах и расширенная производная по выпуклому множеству;;.517.977;;;С. Я. Серовайский, ;;;;2005
ivm1141;Об экономичном выборе дискретной информации при решении некорректных задач;;519.642;;;С. Г. Солодкий, ;;;;2005
ivm1142;Метод билинеаризации для решения задач оптимизации программных управлений;;.517.977;;;В. А. Срочко, С. Н. Ушакова, ;;;;2005
ivm1143;Модификация метода Розена в обратно-выпуклой задаче;;519.854;;;А. С. Стрекаловский, Т. В. Яковлева, ;;;;2005
ivm1144;Сходимость метода проекции градиента для одного класса невыпуклых задач математического программирования;;519.853;;;Ю. А. Черняев, ;;;;2005
ivm1145;Некоторые вопросы приближения функций ;;512.518;;;В. А. Абилов, Ф. В. Абилова, ;;;;2006
ivm1147;О начально-краевых задачах малых колебаний вязких ;;517.958;;;С. А. Баева, А. В. Глушко, ;;;;2006
ivm1148;Задача Гильберта для линейной эллиптической системы ;;517.956:517.544;;;И. А. Бикчантаев, ;;;;2006
ivm1149;Стpуктуpные свойства пеpиодических функций с абсолютно ;;517.518;;;Н. А. Ильясов, ;;;;2006
ivm114;О методе решения полукоэрцитивных вариационных неравенств, основанном на методе итеративной проксимальной регуляризации;;517.988:519.677;;;Э. М. Вихтенко, Р. В. Намм, ;;;;2004
ivm1150;О методе Римана в $R^n$ для одной системы с кратными ;;517.956;;;Л. Б. Миронова, ;;;;2006
ivm1151;$\overline\partial$-замкнутость форм, представимых ;;.517.554;;;Т. Н. Никитина, ;;;;2006
ivm1153;Гиперболические семейства плоскостей пятимерного ;;514.755;;;А. Н. Пыжьянова, ;;;;2006
ivm1154;Теоретико-множественные сводимости по решетке множеств;;512.565:510.57;;;А. Н. Фролов, ;;;;2006
ivm1156;Сходимость решений неавтономных систем ;;517.929;;;Д. Я. Хусаинов, А. Т. Кожаметов, ;;;;2006
ivm1157;Внутренняя геометрия нормализованного пространства ;;514.764;;;Е. А. Голубева, ;;;;2006
ivm1158;Об одном классе контактных ;;514.763;;;Б. М. Дубров, ;;;;2006
ivm1159;Асимптотический анализ решений дифференциальных ;;.517.977;;;Ю. А. Коняев, Ю. Г. Мартыненко, ;;;;2006
ivm115;Алгоритмы в методе штрафов с аппроксимацией допустимого множества;;519.68;;;Я. И. Заботин, И. А. Фукин, ;;;;2004
ivm1160;Критерий существования собственных функций спектральных ;;517.956;;;С. А. Алдашев, ;;;;2006
ivm1161;О трех разностных уравнениях в плоскости с $T$-образным разрезом;;517.547;;;Ф. Н. Гарифьянов, ;;;;2006
ivm1162;Решение волнового уравнения Ламе в областях ;;517.544;;;И. Т. Денисюк, ;;;;2006
ivm1163;Конечно определенные особенности функций, порожденные ;;517.928;;;В. Р. Зачепа, ;;;;2006
ivm1164;Оценка погрешности метода средних функций в задаче ;;517.983;;;Г. Г. Скорик, ;;;;2006
ivm1165;Формирование неоднородного профиля течения ;;532.542;;;И. В. Чернышев, ;;;;2006
ivm1166;Цепи подчинения и их применение к моделированию ;;517.544;;;Е. А. Широкова, ;;;;2006
ivm1167;Метод Ричардсона повышения точности сеточных решений сингулярно ;;519.632;;;Г. И. Шишкин, ;;;;2006
ivm1168;$L_p\to L_q$-оценки для оператора скрученной свертки с ядром, имеющим особенности на сфере и в начале координат;;517.983;;;А. Н. Карапетянц, В. А. Ногин, ;;;;2006
ivm1169;Слабые представления вычислимых ;;517.929;;;М. М. Арсланов, Н. Кехайопулу, ;;;;2006
ivm116;Дифференциальная игра многих лиц с интегральными ограничениями на управления игроков;;517.92;;;Г. И. Ибрагимов, ;;;;2004
ivm1170;Операторы мультипликативного преобразования Фурье;;.517.444;;;М. С. Беспалов, ;;;;2006
ivm1171;Оценки решений неоднородных дифференциально-разностных ;;517.929;;;В. В. Власов, С. А. Иванов, ;;;;2006
ivm1172;Расширение области определения сингулярных интегральных ;;517.948;;;Г. В. Ковалева, Н. Я. Тихоненко, ;;;;2006
ivm1173;О формульности производных объектов на универсальных алгебрах;;512.8;;;А. Г. Пинус, ;;;;2006
ivm1174;Двусторонние оценки $L^p$-норм функции напряжения выпуклых областей в ${\mathbb R}^n$;;517.5:517.956;;;Р. Г. Салахудинов, ;;;;2006
ivm1175;Оптимальное управление начальными условиями канонической гиперболической системы первого порядка на основе нестандартных формул приращения;;.517.977;;;А. В. Аргучинцев, В. П. Поплевко, ;;;;2008
ivm1176;Замкнутые фейеровские циклы для несовместных систем выпуклых неравенств;;519.6;;;И. И. Ерёмин, Л. Д. Попов, ;;;;2008
ivm1177;Вычислительные приемы в линейном программировании без использования искусственных переменных;;519.853;;;Я. И. Заботин, ;;;;2008
ivm1178;О релаксации расстояния до решения в невыпуклых гладких экстремальных задачах;;517.988;;;М. Ю. Кокурин, ;;;;2008
ivm1179;Задачи пространственного равновесия для систем аукционного типа;;519.6:519.85;;;И. В. Коннов, ;;;;2008
ivm117;Эллипсоидальное оценивание состояния дискретных систем управления с помощью матричных систем сравнения;;519.711:681.5;;;А. И. Маликов, ;;;;2004
ivm1180;Видоизмененная обратная краевая задача для крылового профиля, расположенного вблизи прямолинейного экрана;;533.692;;;А. Г. Лабуткин, Р. Б. Салимов, ;;;;2008
ivm1181;Секвенциальное дифференцирование в негладких бесконечномерных экстремальных задачах;;.517.977;;;С. Я. Серовайский, ;;;;2008
ivm1182;О регуляризирующих свойствах принципа максимума Понтрягина;;517.95:517.97;;;М. И. Сумин, Е. В. Трушина, ;;;;2008
ivm1183;Обобщение метода Ньютона на класс невыпуклых задач математического программирования;;519.853;;;Ю. А. Черняев, ;;;;2008
ivm1184;Применение принципа симметрии к решению задачи Сликтера;;532.546;;;Э. Н. Береславский, ;;;;2008
ivm1185;Исследование обобщенного интеграла типа Темлякова в случае единичного бикруга;;517.552;;;О. Н. Быкова, ;;;;2008
ivm1186;Матричные уравнения Бернулли. I;;517.927;;;В. П. Деревенский, ;;;;2008
ivm1187;Об одном аналитическом подходе к решению одномерной задачи переноса тепла со свободными границами;;536.421;;;Р. Г. Зайнуллин, ;;;;2008
ivm1188;О точности метода штрафа для параболических вариационных неравенств с препятствием внутри области;;517.972;;;Р. З. Даутов, А. И. Михеева, ;;;;2008
ivm1189;О представлениях группы Вейля--Делиня;;517.986;;;М. Н. Сабитова, ;;;;2008
ivm118;О схемах формирования ведущей последовательности в регуляризованном экстраградиентном методе решения вариационных неравенств;;517.988:519.85;;;Л. Д. Попов, ;;;;2004
ivm1190;О компонентах суммируемых функций по элементам семейств функций-всплесков;;517.518;;;П. А. Терехин, ;;;;2008
ivm1191;Теорема Гельфанда--Наймарка для $C^*$-алгебр над кольцом измеримых функций;;517.986;;;В. И. Чилин, И. Г. Ганиев, К. К. Кудайбергенов, ;;;;2008
ivm1192;Симметричные решения обратных краевых задач и условия их однолистности;;517.544;;;Н. Р. Абубакиров, ;;;;2008
ivm1193;О краевой задаче Римана и сингулярных интегральных уравнениях с кусочно-постоянными коэффициентами;;517.968;;;А. А. Тарасенко, А. А. Карелин, Х. Перес Лечуга, ;;;;2008
ivm1194;Операда конечных помеченных решеток;;512.568;;;А. В. Семенова, ;;;;2008
ivm1195;Об устойчивости неавтономных разностных уравнений с несколькими запаздываниями;;517.929;;;В. В. Малыгина, А. Ю. Куликов, ;;;;2008
ivm1196;Абстрактные вольтерровы операторы;;517.988;;;Е. С. Жуковский, М. Ж. Алвеш, ;;;;2008
ivm1197;О корректной постановке начально-краевых задач ;;571.988:532;;;М. В. Турбин, ;;;;2006
ivm1198;Об одном достаточном условии существования ;;517.988;;;Б. А. Шувар, М. И. Копач, ;;;;2006
ivm1199;О модели Парсонса в случае точки бифуркации с двумерным ветвлением;;517.958;;;Л. Д. Эскин, ;;;;2006
ivm119;Приближенное решение задачи оптимального управления для сингулярного уравнения эллиптического типа с негладкой нелинейностью;;.517.977;;;С. Я. Серовайский, ;;;;2004
ivm11;Об одном свойстве решения задачи почти периодической оптимизации;;.517.977;;;А. Г. Иванов, ;;;;2005
ivm1200;Об одном гиперболическом уравнении в трехмерном пространстве;;517.956;;;А. А. Кунгурцев, ;;;;2006
ivm1201;Обратная краевая задача с данными на параллельных характеристиках ;;517.956;;;С. П. Байгазов, ;;;;2006
ivm1202;О скорости сходимости метода Ротэ для системы уравнений Бюргерса ;;517.937;;;П. В. Виноградова, А. Г. Зарубин, ;;;;2006
ivm1203;К обоснованию квадратурного метода решения интегральных уравнений;;517.968:519.642;;;Л. Б. Ермолаева, ;;;;2006
ivm1204;Симметрия и потенциальность в общей задаче теории ветвления;;.517.588;;;Б. В. Логинов, И. В. Коноплева, Ю. Б. Русак, ;;;;2006
ivm1205;О задаче Коши для многомерной системы уравнений Ламэ;;517.946;;;О. И. Махмудов, И. Э. Ниезов, ;;;;2006
